
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SPFCPI_FE_bias",="SPFPCE_FE_bias",="SPFCPI_FE_lag4",="SPFCPI_FE_arlag4",="SPFCPI_FE_arlag13",="SPFPCE_FE_lag4",="SPFPCE_FE_arlag4",="SPFPCE_FE_arlag13"

="const",="0",="0",="",="",="",="",="",=""
="",="(.)",="(.)",="",="",="",="",="",=""

="L4.InfExp_Mean",="",="",="0.307***",="",="",="0.586***",="",=""
="",="",="",="(0.020)",="",="",="(0.061)",="",=""

="L4.InfExp_FE",="",="",="",="0.0756***",="",="",="0.0503",=""
="",="",="",="",="(0.020)",="",="",="(0.035)",=""

="L.InfExp_FE",="",="",="",="",="0.657***",="",="",="0.834***"
="",="",="",="",="",="(0.025)",="",="",="(0.037)"

="L2.InfExp_FE",="",="",="",="",="0.0282",="",="",="-0.0858"
="",="",="",="",="",="(0.027)",="",="",="(0.048)"

="L3.InfExp_FE",="",="",="",="",="-0.0244",="",="",="-0.0555"
="",="",="",="",="",="(0.025)",="",="",="(0.038)"

="N",="4697",="1679",="3429",="3356",="2536",="1208",="1208",="1004"
="r2",="0",="0",="0.0721",="0.00591",="0.439",="0.118",="0.00264",="0.552"
="ar2",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
